"X1" "X2" "X3" "loc"
"261" 12.4 23.3 15.5 "C"
"262" 12 24.3 21.9 "C"
"263" 13.8 22.9 13.2 "C"
"264" 9 28.8 27.1 "C"
"265" 9.2 26 27 "C"
"266" 14.2 23.6 19.6 "C"
"267" 11.2 22.9 25.5 "C"
"268" 11.7 23.3 15.9 "C"
"269" 10.9 26.4 11.3 "C"
"270" 12.8 25.5 18.8 "C"
